"Date / Time","Object Name","Object Value",
"10/19/2019 08:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 08:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2574 ",
"10/19/2019 08:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 08:10:00 PM","OA-T.Trend - Present Value (Trend1)","57.92 ",
"10/19/2019 08:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 08:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.1175 ",
"10/19/2019 08:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 08:00:00 PM","OA-T.Trend - Present Value (Trend1)","58.1 ",
"10/19/2019 08:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 08:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","146.4182 ",
"10/19/2019 08:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 07:50:00 PM","OA-T.Trend - Present Value (Trend1)","58.64 ",
"10/19/2019 07:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 07:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","143.0107 ",
"10/19/2019 07:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","132.2707 ",
"10/19/2019 07:40:00 PM","OA-T.Trend - Present Value (Trend1)","58.82 ",
"10/19/2019 07:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 07:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 07:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 07:30:00 PM","OA-T.Trend - Present Value (Trend1)","59.54 ",
"10/19/2019 07:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 07:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 07:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 07:20:00 PM","OA-T.Trend - Present Value (Trend1)","60.08 ",
"10/19/2019 07:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
